Gene	chr	start	end	chain	CGC_status	Alias	Gene_illustration	Gene_type	Gene_loci	Ensembl_gene_loci	RefSeq	Pubmed
DCAF12	chr9	34086385	34126771	-	NA	CT102,KIAA1892,TCC52,WDR40A,DKFZP434O125,MGC1058	DDB1 and CUL4 associated factor 12	gene with protein product	9p13.3	ENSG00000198876	NM_015397	11572484|9110174|16949367
PDIK1L	chr1	26437656	26452021	+	NA	CLIK1L,STK35L2	PDLIM1 interacting kinase 1 like	gene with protein product	1p36.11	ENSG00000175087	NM_152835	14631099
GRAMD1A	chr19	35485688	35517375	+	NA	KIAA1533,FLJ90346	GRAM domain containing 1A	gene with protein product	19q13.11	ENSG00000089351	NM_020895	10819331
RRAS2	chr11	14299472	14386052	-	NA	TC21	RAS related 2	gene with protein product	11p15.2	ENSG00000133818	NM_012250	2108320|8052619
NSD1	chr5	176560080	176727211	+	NA	ARA267,KMT3B,SOTOS,SOTOS1,STO,FLJ22263	nuclear receptor binding SET domain protein 1	gene with protein product	5q35.3	ENSG00000165671	NM_172349	9628876|11896389
EXOSC2	chr9	133569108	133580248	+	NA	HRRP4P,P7,RRP4,RRP4P,HOMOLOG OF YEAST RRP4 (RIBOSOMAL RNA PROCESSING 4), 3' 5' EXORIBONUCLEASE (RRP4)	exosome component 2	gene with protein product	9q34.12	ENSG00000130713	NM_014285	8600032|1538749
NUP155	chr5	37288239	37371283	-	NA	ATFB15,N155,KIAA0791	nucleoporin 155	gene with protein product	5p13.2	ENSG00000113569	NM_153485|NM_004298	10191094
ELAVL1	chr19	8023463	8070492	-	NA	ELAV1,HUA,HUR,MELG	ELAV like RNA binding protein 1	gene with protein product	19p13.2	ENSG00000066044	NM_001419	8626503|9003489
PKNOX2	chr11	125034602	125303285	+	NA	PREP2	PBX/knotted 1 homeobox 2	gene with protein product	11q24.2	ENSG00000165495	NM_022062	11549286
ARFGEF2	chr20	47538427	47653230	+	NA	BIG2,DJ1164I10.1,PVNH2,ARFGEP2,BREFELDIN A-INHIBITED GUANINE NUCLEOTIDE-EXCHANGE PROTEIN 2	ADP ribosylation factor guanine nucleotide exchange factor 2	gene with protein product	20q13.13	ENSG00000124198	NM_006420	10212200
NOVA1	chr14	26912299	27066725	-	NA	NOVA-1	NOVA alternative splicing regulator 1	gene with protein product	14q12	ENSG00000139910	NM_006491	8558240
UBL5	chr19	9938568	9940791	+	NA	PIN1	ubiquitin like 5	gene with protein product	19p13.2	ENSG00000198258	NM_024292	
NPAS3	chr14	33404139	34270315	+	NA	BHLHE12,PASD6	neuronal PAS domain protein 3	gene with protein product	14q13.1	ENSG00000151322	NM_001164749	
PQLC1	chr18	77662420	77711664	-	NA	FLJ22378	PQ loop repeat containing 1	gene with protein product	18q23	ENSG00000122490	NM_025078	12477932
UBE3C	chr7	156931607	157062066	+	NA	HECTH2,KIAA0010,KIAA10	ubiquitin protein ligase E3C	gene with protein product	7q36.3	ENSG00000009335	NM_014671	7584026|11278995
STX18	chr4	4417469	4543737	-	NA	UFE1	syntaxin 18	gene with protein product	4p16.3-p16.2	ENSG00000168818	NM_016930	10788491
FOXM1	chr12	2966847	2986321	-	NA	FKHL16,FOXM1B,HFH-11,HFH11,HNF-3,INS-1,MPHOSPH2,MPP-2,MPP2,PIG29,TRIDENT,TGT3,WIN	forkhead box M1	gene with protein product	17q21.31	ENSG00000108852	NM_005374	9032290|9441747
SLC39A1	chr1	153931575	153940660	-	NA	IRT1,ZIP1,ZIRTL	solute carrier family 39 member 1	gene with protein product	1q21.3	ENSG00000143570	NM_014437	10610721|10681536
CREB3L4	chr1	153940379	153946839	+	NA	AIBZIP,ATCE1,CREB3,CREB4,HJAL,JAL	cAMP responsive element binding protein 3 like 4	gene with protein product	1q21.3	ENSG00000143578	NM_130898	
CBL	chr11	119077134	119184636	+	CGC TSG/OG	C-CBL,CBL2,FRA11B,NSLL,RNF55	Cbl proto-oncogene	fragile site	11q23.3			2013228
RPL22	chr1	6246752	6269304	-	CGC TSG	EAP,HBP15,HBP15/L22,L22	ribosomal protein L22	gene with protein product	1p36.31	ENSG00000116251	NM_000983	8395054
SEPW1	chr19	48281829	48287938	+	NA	SELENOW	NA	gene with protein product	19q13.33	ENSG00000178980	NM_003009	NA
SMARCA4	chr19	11071677	11172958	+	CGC TSG	SNF2LB,SWI2,BAF190,SNF2,BAF190A,BRG1,CSS4,HSNF2B,MRD16,RTPS2,SNF2L4,FLJ39786,SNF2-BETA,SNF2B	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	gene with protein product	19p13.2	ENSG00000127616	NM_003072	8208605
SUPT5H	chr19	39932283	39967310	+	NA	SPT5,SPT5H,TAT-CT1,FLJ34157	SPT5 homolog, DSIF elongation factor subunit	gene with protein product	19q13.2	ENSG00000196235	NM_003169	8975720|10075709
BUB1	chr2	111395275	111435684	-	NA	BUB1A,BUB1L,HBUB1	BUB1 mitotic checkpoint serine/threonine kinase	gene with protein product	2q13	ENSG00000169679	NM_004336	9441741
SEMA3F	chr3	50192524	50226507	+	NA	SEMA-IV,SEMA4,SEMAK,SEMA IV	semaphorin 3F	gene with protein product	3p21.31	ENSG00000001617	NM_004186	8786119|8649831
IFT57	chr3	107879659	107941417	-	NA	ESRRBL1,HIPPI,MHS4R2,FLJ10147,DERP8	intraflagellar transport 57	gene with protein product	3q13.12-q13.13	ENSG00000114446	NM_018010	
VPS54	chr2	64119280	64246206	-	NA	HCC8,HVPS54L,PPP1R164,SLP-8P,PROTEIN PHOSPHATASE 1, REGULATORY SUBUNIT 164	VPS54, GARP complex subunit	gene with protein product	2p15-p14	ENSG00000143952	NM_016516	12039048|15878329
HIRIP3	chr16	30003642	30007757	-	NA	NA	HIRA interacting protein 3	gene with protein product	16p11.2	ENSG00000149929	NM_003609	9710638
ZNF747	chr16	30541688	30546668	-	NA	MGC2474	zinc finger protein 747	gene with protein product	16p11.2	ENSG00000169955	NM_023931	10493829
UPF2	chr10	11962022	12085169	-	NA	HUPF2,RENT2,SMG-3,DKFZP434D222,KIAA1408,SMG-3 HOMOLOG, NONSENSE MEDIATED MRNA DECAY FACTOR (C. ELEGANS)	UPF2, regulator of nonsense mediated mRNA decay	gene with protein product	10p14	ENSG00000151461	NM_015542	11073994|11113196
NPC1	chr18	21111401	21166862	-	NA	NPC	NPC intracellular cholesterol transporter 1	gene with protein product	18q11.2	ENSG00000141458	NM_000271	8446622
ATXN10	chr22	46067679	46241187	+	NA	E46L,HUMEEP,SCA10,FLJ37990	ataxin 10	gene with protein product	22q13.31	ENSG00000130638	NM_013236	9973298
CD276	chr15	73976554	74006859	+	NA	4IG-B7-H3,B7-H3,B7H3,B7RP-2	CD276 molecule	gene with protein product	15q24.1	ENSG00000103855	NM_025240	11224528|12055244
SMC3	chr10	112327449	112364394	+	NA	BMH,BAM,CDLS3,CSPG6,HCAP,SMC3L1,BAMACAN	structural maintenance of chromosomes 3	gene with protein product	10q25.2	ENSG00000108055	NM_005445	9506951|10358101|17273969
PSMD14	chr2	162164549	162268228	+	NA	POH1,RPN11,PAD1	proteasome 26S subunit, non-ATPase 14	gene with protein product	2q24.2	ENSG00000115233	NM_005805	9374539
DCAF8	chr1	160185505	160232291	-	NA	GAN2,H326,WDR42A,FLJ35857	DDB1 and CUL4 associated factor 8	gene with protein product	1q23.2	ENSG00000132716	NM_015726	11401431|16949367
COL16A1	chr1	32117848	32169920	-	NA	447AA,FP1572	collagen type XVI alpha 1 chain	gene with protein product	1p35.2	ENSG00000084636	NM_001856	1631157
VPS45	chr1	150039350	150117504	+	NA	H1,H1VPS45,SCN5,VPS45A,VPS45B,VPS54A,VSP45,VSP45A,H-VPS45	vacuolar protein sorting 45 homolog	gene with protein product	1q21.2	ENSG00000136631	NM_007259	8996080
WDFY1	chr2	224740064	224810104	-	NA	FENS-1,WDF1,ZFYVE17,KIAA1435	WD repeat and FYVE domain containing 1	gene with protein product	2q36.1	ENSG00000085449	NM_020830	11739631
MED25	chr19	50321536	50340237	+	NA	MED9,ACID1,ARC92,BVSYS,CMT2B2,PTOV2,TCBAP0758,DKFZP434K0512	mediator complex subunit 25	gene with protein product	19q13.3	ENSG00000104973	NM_030973	9110174|11230166
MBTPS1	chr16	84087371	84150511	-	NA	PCSK8,S1P,SKI-1,KIAA0091,SITE-1 PROTEASE	membrane bound transcription factor peptidase, site 1	gene with protein product	16q23.3-q24.1	ENSG00000140943	NM_003791	9809072|10944850
RAB21	chr12	72148654	72194065	+	NA	KIAA0118	RAB21, member RAS oncogene family	gene with protein product	12q21.1	ENSG00000080371	NM_014999	10887961|11697911|16754960
SLFN12	chr17	33738090	33760302	-	NA	SLFN3,FLJ10260	schlafen family member 12	gene with protein product	17q12	ENSG00000172123	NM_018042	12477932
ST3GAL6	chr3	98451080	98514689	+	NA	SIAT10,ST3GALVI	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	gene with protein product	3q12.1	ENSG00000064225	NM_006100	10206952
TAX1BP1	chr7	27778992	27869384	+	NA	CALCOCO3,T6BP,TXBP151	Tax1 binding protein 1	gene with protein product	7p15.2	ENSG00000106052	NM_006024	10435631
ADSL	chr22	40761043	40786467	+	NA	AMPS,ASASE,ASL	adenylosuccinate lyase	gene with protein product	7q11.21	ENSG00000126522	NM_000048	8404037
SMG5	chr1	156219015	156252616	-	NA	EST1B,LPTS-RP1,LPTSRP1,SMG-5,KIAA1089,RP11-54H19.7,EST1 TELOMERASE COMPONENT HOMOLOG B (S. CEREVISIAE)	SMG5, nonsense mediated mRNA decay factor	gene with protein product	1q22	ENSG00000198952	NM_015327	12676087|12699629
C18ORF10	chr18	34359990	34409179	-	NA	TPGS2	NA	gene with protein product	18q12.2	ENSG00000134779	NM_015476	NA
TIFA	chr4	113195698	113207059	-	NA	IL22,T2BP,TIFAA,MGC20791,TRAF6 BINDING PROTEIN	TRAF interacting protein with forkhead associated domain	gene with protein product	4q25	ENSG00000145365	NM_052864	1179819
ZNF140	chr12	133656424	133684130	+	NA	PHZ-39	zinc finger protein 140	gene with protein product	12q24.33	ENSG00000196387	NM_003440	7557990
DCP1A	chr3	53317448	53381637	-	NA	HSA275986,NBLA00360,SMAD4IP1,SMIF	decapping mRNA 1A	gene with protein product	3p21.1	ENSG00000272886	NM_018403	
ADAR	chr1	154554543	154600440	-	NA	ADAR1,AGS6,DRADA,DSH,DSRAD,G1P1,IFI4,K88DSRBP,P136	adenosine deaminase, RNA specific	gene with protein product	1q21.3	ENSG00000160710	NM_001111	7972084
INO80	chr15	41271078	41408552	-	NA	HINO80,INO80A,INOC1,INO80,KIAA1259	INO80 complex subunit	gene with protein product	15q15.1	ENSG00000128908	NM_017553	16298340|16230350|20237820
PSAP	chr10	73576055	73611132	-	NA	GLBA,MTCH1	prosaposin	gene with protein product	10q22.1	ENSG00000197746	NM_002778	2717620
FRAT1	chr10	99079024	99081672	+	NA	NA	FRAT1, WNT signaling pathway regulator	gene with protein product	10q24.1	ENSG00000165879	NM_005479	9034327
CHAC1	chr15	41245347	41248717	+	NA	MGC4504,BOTCH,GAMMA-GCT ACTING ON GLUTATHIONE HOMOLOG 1	ChaC glutathione specific gamma-glutamylcyclotransferase 1	gene with protein product	15q15.1	ENSG00000128965	NM_024111	23070364
ATP6V1B2	chr8	20054878	20079212	+	NA	VPP3,ATP6B1B2,ATP6B2,DOOD,HO57,VMA2,ZLS2	ATPase H+ transporting V1 subunit B2	gene with protein product	8p21.3	ENSG00000147416	NM_001693	2145275|14580332
FLRT3	chr20	14303634	14318254	-	NA	HH21,KIAA1469	fibronectin leucine rich transmembrane protein 3	gene with protein product	20p12.1	ENSG00000125848	NM_013281	10644439
ARL5A	chr2	152645592	152684955	-	NA	ARFLP5,ARL5	ADP ribosylation factor like GTPase 5A	gene with protein product	2q23.3	ENSG00000162980	NM_012097	15896705
ZNF787	chr19	56598732	56632649	-	NA	TIP20	zinc finger protein 787	gene with protein product	19q13.43	ENSG00000142409	NM_001002836	
BACH2	chr6	90636248	91006627	-	NA	BTBD25	BTB domain and CNC homolog 2	gene with protein product	6q15	ENSG00000112182	NM_021813	10949928|12829606
ELL	chr19	18553473	18632937	-	CGC TSG	C19ORF17,ELL1,MEN,PPP1R68	elongation factor for RNA polymerase II	gene with protein product	19p13.11	ENSG00000105656	NM_006532	7991593|8596958
CLCN6	chr1	11866153	11903200	+	NA	CLC-6,KIAA0046	chloride voltage-gated channel 6	gene with protein product	1p36.22	ENSG00000011021	NM_001286	8543009
MTHFR	chr1	11846660	11866115	-	NA	NA	methylenetetrahydrofolate reductase	gene with protein product	1p36.22	ENSG00000177000	NM_005957	7920641
RDH10	chr8	74206847	74237516	+	NA	SDR16C4,SHORT CHAIN DEHYDROGENASE/REDUCTASE FAMILY 16C, MEMBER 4	retinol dehydrogenase 10	gene with protein product	8q21.11	ENSG00000121039	NM_172037	12407145|19027726
RPL7	chr8	74203275	74208024	-	NA	HUML7-1,L7	ribosomal protein L7	gene with protein product	8q21.11	ENSG00000147604	NM_000971	8360149|8441630
EPOR	chr19	11487881	11494988	-	NA	EPO-R	erythropoietin receptor	gene with protein product	19p13.2	ENSG00000187266	NM_000121	
CDC42	chr1	22379120	22419416	+	NA	CDC42HS,G25K,TKS,GTP BINDING PROTEIN, 25KDA	cell division cycle 42	gene with protein product	1p36.12	ENSG00000070831	NM_001791	2124704|2122236
FKBP5	chr6	35541362	35696360	-	NA	FKBP51,AIG6,FKBP54,PTG-10	FK506 binding protein 5	gene with protein product	6p21.31	ENSG00000096060	NM_001145775	9001212
PRH1	chr12	11035186	11324143	-	NA	DB-S,PIF-S,PR1/PR2,PRH2,PA	proline rich protein HaeIII subfamily 1	gene with protein product	12p13.2	ENSG00000134551	NM_001110213	3009472
APRT	chr16	88875747	88878352	-	NA	AMP,APRTD	adenine phosphoribosyltransferase	gene with protein product	16q24.3	ENSG00000198931	NM_000485	
STAM2	chr2	152973315	153032506	-	NA	HBP,STAM2A,STAM2B,HSE1 HOMOLOG (S. CEREVISIAE)	signal transducing adaptor molecule 2	gene with protein product	2q23.3	ENSG00000115145	NM_005843	10899310|10993906
PARP14	chr3	122399465	122449687	+	NA	ARTD8,BAL2,PARP-14,PART8,KIAA1268	poly(ADP-ribose) polymerase family member 14	gene with protein product	3q21.1	ENSG00000173193	NM_017554	15273990
TJP2	chr9	71736180	71870124	+	NA	C9DUPQ21.11,DFNA51,DUP9Q21.11,X104,ZO2,ZO-2	tight junction protein 2	gene with protein product	9q21.11	ENSG00000119139	NM_201629	7951235|20602916
RIOK2	chr5	96496571	96518964	-	NA	RIO2,FLJ11159	RIO kinase 2	gene with protein product	5q15	ENSG00000058729	NM_018343	
PRMT7	chr16	68345037	68392456	+	NA	FLJ10640,KIAA1933	protein arginine methyltransferase 7	gene with protein product	16q22.1	ENSG00000132600	NM_019023	15044439
RBM25	chr14	73525144	73590606	+	NA	FSAP94,NET52,RED120,RNPC7,S164,SNU71	RNA binding motif protein 25	gene with protein product	14q24.2	ENSG00000119707	XM_027330	9847074|7596406
REPIN1	chr7	150065361	150071128	+	NA	AP4,RIP60,ZFP464,ZNF464,H_DJ0584D14.12	replication initiator 1	gene with protein product	7q36.1	ENSG00000214022	NM_014374	10606657
FAM57A	chr17	635652	646212	+	NA	CT120,FLJ22282	family with sequence similarity 57 member A	gene with protein product	17p13.3	ENSG00000167695	NM_024792	12270127
LENG9	chr19	54972976	54974894	-	NA	NA	leukocyte receptor cluster member 9	gene with protein product	19q13.42	ENSG00000275183	NM_198988	10941842
TXNDC5	chr6	7881750	7911047	-	NA	ENDOPDI,ERP46,HCC2,PDIA15,STRF8,UNQ364,FLJ21353,FLJ90810,HCC-2,MGC3178,TLP46,PROTEIN DISULFIDE ISOMERASE FAMILY A, MEMBER 15	thioredoxin domain containing 5	gene with protein product	6p24.3	ENSG00000239264	NM_030810	
AP1S2	chrX	15843929	15873054	-	NA	DC22,MRX59,MRXS21,MRXS5,MRXSF,PGS,SIGMA1B	adaptor related protein complex 1 sigma 2 subunit	gene with protein product	Xp22.2	ENSG00000182287	NM_003916	9733768|17186471|23756445
REEP3	chr10	65281123	65384883	+	NA	C10ORF74,YIP2B	receptor accessory protein 3	gene with protein product	10q21.3	ENSG00000165476	NM_001001330	16271481|15550249
SH2B1	chr16	28858010	28885526	+	NA	SH2B,FLJ30542,KIAA1299,SH2-B HOMOLOG	SH2B adaptor protein 1	gene with protein product	16p11.2	ENSG00000178188	NM_015503	11827956|10594240
ARF3	chr12	49329506	49351334	-	NA	SMALL GTP BINDING PROTEIN	ADP ribosylation factor 3	gene with protein product	12q13.12	ENSG00000134287	NM_001659	8661066
PDLIM1	chr10	96997329	97050781	-	NA	CLP-36,CLP36,HCLIM1,HEL-S-112,CLIM1	PDZ and LIM domain 1	gene with protein product	10q23.33	ENSG00000107438	NM_020992	10861853
COL13A1	chr10	71561688	71718904	+	NA	CMS19,COLXIIIA1	collagen type XIII alpha 1 chain	gene with protein product	10q22.1	ENSG00000197467	NM_005203	
GOT1	chr10	101156627	101190350	-	NA	AST1,ASTQTL1,CASPAT,CCAT,GOLT1A,GOLT1B,GLUTAMATE OXALOACETATE TRANSAMINASE 1	glutamic-oxaloacetic transaminase 1	gene with protein product	10q24.2	ENSG00000120053	NM_002079	1974457
RMND5A	chr2	86947296	87005164	+	NA	CTLH,GID2A,P44CTLH,RMD5,FLJ13910,44-KD PROTEIN CODING FOR CTLH MOTIF	required for meiotic nuclear division 5 homolog A	gene with protein product	2p11.2	ENSG00000153561	NM_022780	17467196
ACAD9	chr3	128598454	128631957	+	NA	NPD002,MGC14452	acyl-CoA dehydrogenase family member 9	gene with protein product	3q21.3	ENSG00000177646	NM_014049	12359260|21057504|20816094
ANKRD37	chr4	186317965	186321782	+	NA	LRP2BP,LPR2BP	ankyrin repeat domain 37	gene with protein product	4q35.1	ENSG00000109771	NM_018409	
SMG9	chr19	44232144	44259142	-	NA	C19ORF61,F17127_1,HBMS,FLJ12886	SMG9, nonsense mediated mRNA decay factor	gene with protein product	19q13.31	ENSG00000105771	NM_019108	11230166|19417104
TBX15	chr1	119425669	119532179	-	NA	TBX14	T-box 15	gene with protein product	1p12	ENSG00000092607	NM_152380	9693034
TPRG1L	chr1	3541566	3546691	+	NA	FAM79A,H-MOVER,MOVER,FLJ21811,RP11-46F15.3	tumor protein p63 regulated 1 like	gene with protein product	1p36.32	ENSG00000158109	NM_182752	12477932
SVEP1	chr9	113127531	113342160	-	NA	C9ORF13,CCP22,POLYDOM,SEL-OB,SELOB,BA427L11.3,FLJ13529	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	gene with protein product	9q31.3	ENSG00000165124	NM_153366	
TTC35	chr8	109455853	109499141	+	NA	EMC2	NA	gene with protein product	8q23.1	ENSG00000104412	NM_014673	NA
MTFR1	chr8	66556974	66622791	+	NA	CHPPR,FAM54A2,KIAA0009,LIKELY ORTHOLOG OF CHICKEN CHONDROCYTE PROTEIN WITH A POLY PROLINE REGION	mitochondrial fission regulator 1	gene with protein product	8q13.1	ENSG00000066855	NM_014637	7584026|7584028|15389597
CD55	chr1	207510099	207560149	+	NA	CR,CROM,DAF,TC	CD55 molecule (Cromer blood group)	gene with protein product	1q32.2	ENSG00000196352	NM_000574	
RNF34	chr12	121837947	121868426	+	NA	HRFI,RFI,RIFF,FLJ21786,RIF	ring finger protein 34	gene with protein product	12q24.31	ENSG00000170633	NM_194271	12118383
DPY19L4	chr8	95732128	95806064	+	NA	NA	dpy-19 like 4	gene with protein product	8q22.1	ENSG00000156162	NM_181787	
SLC15A4	chr12	129277736	129308528	-	NA	FP12591,PHT1,PTR4	solute carrier family 15 member 4	gene with protein product	12q24.33	ENSG00000139370	NM_145648	11741232
RPS24	chr10	79793518	79816570	+	NA	DBA3,S24	ribosomal protein S24	gene with protein product	10q22.3	ENSG00000138326	NM_001026	9027498|9582194
MRM1	chr17	34958001	34965407	+	NA	FLJ22578	mitochondrial rRNA methyltransferase 1	gene with protein product	17q12	ENSG00000278619	NM_024864	24036117
SSR1	chr6	7301566	7347679	-	NA	TRAPA,TRANSLOCON-ASSOCIATED PROTEIN ALPHA	signal sequence receptor subunit 1	gene with protein product	6p24.3	ENSG00000124783	NM_001292008	
EPHA7	chr6	93949738	94129244	-	NA	EHK-3,EHK3,EK11,HEK11	EPH receptor A7	gene with protein product	6q16.1	ENSG00000135333	NM_001288629	9267020
NFYC	chr1	41157381	41237275	+	NA	CBF-C,CBFC,H1TF2A,HAP5,NF-YC	nuclear transcription factor Y subunit gamma	gene with protein product	1p34.2	ENSG00000066136	NM_014223	8921405|9249075
NFIX	chr19	13106422	13207015	+	NA	MRSHSS,NF-I/X,NF1-X,NF1A,SOTOS2,CCAAT-BINDING TRANSCRIPTION FACTOR	nuclear factor I X	gene with protein product	19p13.13	ENSG00000008441	NM_002501	8340106|7590749
PLEKHH3	chr17	40819962	40829012	-	NA	FLJ21019	pleckstrin homology, MyTH4 and FERM domain containing H3	gene with protein product	17q21.2	ENSG00000068137	NM_024927	12477932
UBE2B	chr5	133706870	133727683	+	NA	UBC2,E2-17KDA,HHR6B,HR6B,RAD6B	ubiquitin conjugating enzyme E2 B	gene with protein product	5q31.1	ENSG00000119048	NM_003337	1559696
LEMD2	chr6	33738979	33756913	-	NA	CTRCT42,DJ482C21.1,NET25	LEM domain containing 2	gene with protein product	6p21.31	ENSG00000161904	XM_166338	12477932
RLIM	chrX	73805052	73834452	-	NA	MRX61,NY-REN-43,RNF12,MGC15161	ring finger protein, LIM domain interacting	gene with protein product	Xq13.2	ENSG00000131263	NM_016120	10508479
GMPPA	chr2	220363589	220371709	+	NA	AAMR	GDP-mannose pyrophosphorylase A	gene with protein product	2q35	ENSG00000144591	NM_013335	
CEBPG	chr19	33864236	33873592	+	NA	GPE1BP,IG/EBP-1	CCAAT/enhancer binding protein gamma	gene with protein product	19q13.11	ENSG00000153879	NM_001806	1884998
RGS10	chr10	121259437	121302220	-	NA	NA	regulator of G protein signaling 10	gene with protein product	10q26.11	ENSG00000148908	NM_002925	8774883
ZNF398	chr7	148823508	148879894	+	NA	P51,P71,ZER6,KIAA1339	zinc finger protein 398	gene with protein product	7q35	ENSG00000197024	NM_020781	11779858
RNF150	chr4	141786725	142134031	-	NA	KIAA1214	ring finger protein 150	gene with protein product	4q31.21	ENSG00000170153	XM_291090	10574462
ZBTB34	chr9	129622944	129648157	+	NA	ZNF918,KIAA1993,MGC24652	zinc finger and BTB domain containing 34	gene with protein product	9q33.3	ENSG00000177125	NM_001099270	16718364
RAB20	chr13	111175413	111214080	-	NA	FLJ20429	RAB20, member RAS oncogene family	gene with protein product	13q34	ENSG00000139832	NM_017817	11697911
TNPO3	chr7	128594234	128695227	-	NA	IPO12,LGMD1F,MTR10A,TRN-SR,TRN-SR2,TRNSR	transportin 3	gene with protein product	7q32.1	ENSG00000064419	NM_012470	10366588|10713112|23543484|23667635
PANK3	chr5	167975500	168006605	-	NA	FLJ12899	pantothenate kinase 3	gene with protein product	5q34	ENSG00000120137	NM_024594	11479594
ZDHHC17	chr12	77157368	77247476	+	NA	HIP14,HSPC294,HYPH,KIAA0946,GN   HIP3,GN   KIAA0946	zinc finger DHHC-type containing 17	gene with protein product	12q21.2	ENSG00000186908	NM_015336	9700202|18794299
PUF60	chr8	144898514	144912029	-	NA	FIR,ROBPI,SIAHBP1,VRJS,RO RIBONUCLEOPROTEIN BINDING PROTEIN 1	poly(U) binding splicing factor 60	gene with protein product	8q24.3	ENSG00000179950	NM_014281	10668799|10882074|17579712
CAPN7	chr3	15247750	15294425	+	NA	CALPAIN7,PALBH,HOMOLOG OF ASPERGILLUS NIDULANS PALB	calpain 7	gene with protein product	3p25.1	ENSG00000131375	NM_014296	8163008|10051333
